"yyyy","mm","day","HH_UTC","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,8,11,9,0,1.84,0.0067,-999,1.22831,-3.47204,0.645527691117895,0.133105,208.76
2021,8,11,9,30,1.84,0.0067,-999,1.62323,-2.95579,0.625410265345877,0.121183,226.856
2021,8,11,10,0,1.84,0.0067,-999,1.76897,-5.90625,1.03143104471409,0.155631,226.529
2021,8,11,10,30,1.84,0.0067,-999,1.98673,-11.9068,0.74889451860726,0.194872,226.86
2021,8,11,11,0,1.84,0.0067,-999,1.25981,-3.30202,0.866146638855108,0.151152,209.212
2021,8,11,11,30,1.84,0.0067,-999,1.4746,-0.44324,0.822821365789683,-999,238.277
2021,8,11,12,0,1.84,0.0067,-999,1.24077,-0.357003,0.965001036268874,-999,228.635
2021,8,11,12,30,1.84,0.0067,-999,1.09368,-3.10704,1.16876430472529,0.159792,209.03
2021,8,11,13,0,1.84,0.0067,-999,1.80684,-6.2567,0.934905877615496,0.192471,259.572
2021,8,11,13,30,1.84,0.0067,-999,1.45597,-6.33041,1.05130870822989,0.199504,267.153
2021,8,11,14,0,1.84,0.0067,-999,1.26254,-5.84139,1.07267888950981,0.193619,265.445
2021,8,11,14,30,1.84,0.0067,-999,1.35883,-10.3183,0.949668363166848,0.234776,241.838
2021,8,11,15,0,1.84,0.0067,-999,1.38739,-3.57923,1.0220714260755,0.17312,199.538
2021,8,11,15,30,1.84,0.0067,-999,1.50444,-5.43719,0.947116677078384,0.186664,257.802
2021,8,11,16,0,1.84,0.0067,-999,1.56077,-4.50862,0.911316081280255,0.163808,251.675
2021,8,11,16,30,1.84,0.0067,-999,1.60316,-4.96713,0.692107650586236,0.167368,268.741
2021,8,11,17,0,1.84,0.0067,-999,0.350928,-3.87704,0.60551465713061,0.141153,331.136
2021,8,11,17,30,1.84,0.0067,-999,1.2022,-7.33949,0.715840764416221,0.155662,229.758
2021,8,11,18,0,1.84,0.0067,-999,1.10537,-3.79117,0.597427819907979,0.13258,276.949
2021,8,11,18,30,1.84,0.0067,-999,0.833949,-12.4078,0.428588380617114,0.127053,196.662
2021,8,11,19,0,1.84,0.0067,-999,0.580509,-9.48244,0.291322501705584,0.106701,161.297
2021,8,11,19,30,1.84,0.0067,-999,0.605478,1.36682,0.235245403780818,-999,155.769
2021,8,11,20,0,1.84,0.0067,-999,0.460444,-1.15095,0.110067252168844,-999,139.169
2021,8,11,20,30,1.84,0.0067,-999,0.434418,2.72507,0.155986537880677,-999,146.541
2021,8,11,21,0,1.84,0.0067,-999,0.330025,7.77437,0.0952637916524426,-999,134.479
2021,8,11,21,30,1.84,0.0067,-999,0.374686,-0.586641,0.10837112161457,-999,139.53
2021,8,11,22,0,1.84,0.0067,-999,0.314961,-2.23123,0.0784481357331071,-999,135.416
2021,8,11,22,30,1.84,0.0067,-999,0.410419,-6.35062,0.14962152251598,-999,120.552
2021,8,11,23,0,1.84,0.0067,-999,0.46125,123.884,0.0859826145217741,-999,129.984
2021,8,11,23,30,1.84,0.0067,-999,0.350493,26.3012,0.125912271046153,-999,143.286
2021,8,12,0,0,1.84,0.0067,-999,0.400887,-1639.27,0.0804250582840945,-999,138.316
2021,8,12,0,30,1.84,0.0067,-999,0.44164,11.2691,0.145645803235109,-999,122.895
2021,8,12,1,0,1.84,0.0067,-999,0.518547,-3.04748,0.203895561501471,-999,86.8891
2021,8,12,1,30,1.84,0.0067,-999,0.184947,-6.0842,0.166556296788804,-999,88.581
2021,8,12,2,0,1.84,0.0067,-999,0.485881,-1.85246,0.149672976852871,-999,139.557
2021,8,12,2,30,1.84,0.0067,-999,0.250036,-1.09889,0.171831894594688,-999,137.901
2021,8,12,3,0,1.84,0.0067,-999,0.436148,-3.67235,0.192217324921559,-999,129.508
2021,8,12,3,30,1.84,0.0067,-999,0.454816,-0.316998,0.317527951525531,-999,116.487
2021,8,12,4,0,1.84,0.0067,-999,0.756727,-139.608,0.350149967870911,0.105262,93.6915
2021,8,12,4,30,1.84,0.0067,-999,0.433192,-3.97508,0.174960566985821,-999,91.6318
2021,8,12,5,0,1.84,0.0067,-999,0.28794,-43.8645,0.0850704414000539,-999,122.405
2021,8,12,5,30,1.84,0.0067,-999,0.643686,-9.28099,0.193905905015809,-999,121.997
2021,8,12,6,0,1.84,0.0067,-999,0.243432,-2.19636,0.102640148090306,-999,104.05
2021,8,12,6,30,1.84,0.0067,-999,0.545062,-2.86589,0.158157832559757,-999,89.3478
2021,8,12,7,0,1.84,0.0067,-999,0.579993,-0.0941377,0.170368130822639,-999,113.259
2021,8,12,7,30,1.84,0.0067,-999,0.521618,-6.16402,0.370870597378654,0.110592,155.836
2021,8,12,8,0,1.84,0.0067,-999,0.69135,-1.56105,0.420777851128122,-999,216.947
2021,8,12,8,30,1.84,0.0067,-999,0.513683,-0.500469,0.424285281385061,-999,186.158
