"yyyy","mm","day","HH_UTC","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,7,24,15,0,1.84,0.0067,-999,-0.736576,-0.180479,0.815107354892593,0.0486124,48.6338
2021,7,24,15,30,1.84,0.0067,-999,-1.04367,-20.4973,0.881367119876842,0.239999,40.4994
2021,7,24,16,0,1.84,0.0067,-999,-1.07507,-11.6459,0.89696488225571,0.200052,37.9374
2021,7,24,16,30,1.84,0.0067,-999,-0.799865,-12.5287,0.651275671279067,0.152794,54.3171
2021,7,24,17,0,1.84,0.0067,-999,0.576597,-0.520933,1.27905042902929,0.0437766,123.756
2021,7,24,17,30,1.84,0.0067,-999,2.3281,-197.038,1.23886641733481,0.298021,218.762
2021,7,24,18,0,1.84,0.0067,-999,2.4183,-100.813,0.941778105500441,0.344452,225.526
2021,7,24,18,30,1.84,0.0067,-999,2.20194,-43.035,1.29563883856575,0.274637,218.8
2021,7,24,19,0,1.84,0.0067,-999,1.98001,-99.789,1.19210318345351,0.350562,233.815
2021,7,24,19,30,1.84,0.0067,-999,1.15911,-27.4018,0.813183866047526,0.201528,234.043
2021,7,24,20,0,1.84,0.0067,-999,0.748247,-41.5208,0.981434664152434,0.229932,245.715
2021,7,24,20,30,1.84,0.0067,-999,0.864965,-17.1433,0.835531567327052,0.15717,243.015
2021,7,24,21,0,1.84,0.0067,-999,1.02478,-24.9967,0.886597428374344,0.193679,238.748
2021,7,24,21,30,1.84,0.0067,-999,1.02525,-20.4036,0.61259285010519,0.177327,234.042
2021,7,24,22,0,1.84,0.0067,-999,0.95909,-39.1873,0.535620201262051,0.210015,240.831
2021,7,24,22,30,1.84,0.0067,-999,1.47042,-50.3798,0.746495813785985,0.217623,229.578
2021,7,24,23,0,1.84,0.0067,-999,1.68869,-53.2176,0.687016739242939,0.22164,222.702
2021,7,24,23,30,1.84,0.0067,-999,1.2592,-61.3527,0.854718082176808,0.224655,237.962
2021,7,25,0,0,1.84,0.0067,-999,1.12195,-77.1334,0.743454773338634,0.22467,237.169
2021,7,25,0,30,1.84,0.0067,-999,1.58331,-58.4042,0.559483690557643,0.212117,212.66
2021,7,25,1,0,1.84,0.0067,-999,1.68611,-110.729,0.585326404666661,0.214217,209.947
2021,7,25,1,30,1.84,0.0067,-999,1.53193,-44.9568,0.623547111291521,0.17905,218.348
2021,7,25,2,0,1.84,0.0067,-999,1.19379,-55.293,0.568168108925519,0.193208,230.159
2021,7,25,2,30,1.84,0.0067,-999,1.01963,-100.832,0.596291036323707,0.179731,229.694
2021,7,25,3,0,1.84,0.0067,-999,1.37514,-37.7061,0.510813077358049,0.160183,216.453
2021,7,25,3,30,1.84,0.0067,-999,1.38769,-41.959,0.448993318435809,0.153902,216.266
2021,7,25,4,0,1.84,0.0067,-999,1.35107,-100.087,0.500943110542505,0.178201,221.331
2021,7,25,4,30,1.84,0.0067,-999,1.1109,-38.6458,0.488400450450243,0.145614,224.147
2021,7,25,5,0,1.84,0.0067,-999,0.814368,-35.313,0.411701348066775,0.119632,229.899
2021,7,25,5,30,1.84,0.0067,-999,1.25907,-43.4719,0.461877689437366,0.103304,208.001
2021,7,25,6,0,1.84,0.0067,-999,0.91731,-51.5689,0.429797626796612,0.116203,219.42
2021,7,25,6,30,1.84,0.0067,-999,0.405489,33.2464,0.515643287554488,0.0529473,189.204
2021,7,25,7,0,1.84,0.0067,-999,0.375402,-2.04486,0.451646986041089,0.0503331,151.324
2021,7,25,7,30,1.84,0.0067,-999,0.871744,-13.5382,0.748859132280565,0.115756,212.167
2021,7,25,8,0,1.84,0.0067,-999,1.01791,-8.9134,0.411220135693767,0.131003,175.136
2021,7,25,8,30,1.84,0.0067,-999,1.1864,-20.6798,0.854689417273901,0.190705,209.412
2021,7,25,9,0,1.84,0.0067,-999,1.42387,-16.6604,0.662625082531593,0.203893,222.345
2021,7,25,9,30,1.84,0.0067,-999,1.45968,-12.844,0.762129254129508,0.176124,215.313
2021,7,25,10,0,1.84,0.0067,-999,1.31509,-12.8034,0.637643317223665,0.164121,195.407
2021,7,25,10,30,1.84,0.0067,-999,1.25625,-10.9029,0.8157689623907,0.192587,187.9
2021,7,25,11,0,1.84,0.0067,-999,1.33498,-17.0749,0.934682833906775,0.220328,186.763
2021,7,25,11,30,1.84,0.0067,-999,1.3956,-9.75654,0.584741823371648,0.184994,192.845
2021,7,25,12,0,1.84,0.0067,-999,1.02313,-3.03998,0.921989153949221,0.132238,190.005
2021,7,25,12,30,1.84,0.0067,-999,0.793225,-5.95728,0.856615432968611,0.169715,175.902
2021,7,25,13,0,1.84,0.0067,-999,1.21191,-11.9606,1.06716915247771,0.234186,205.471
2021,7,25,13,30,1.84,0.0067,-999,1.17016,-4.9645,1.01111819289339,0.176899,228.703
2021,7,25,14,0,1.84,0.0067,-999,1.01674,-9.30483,1.27130641467744,0.223808,223.495
2021,7,25,14,30,1.84,0.0067,-999,1.00108,-11.1475,1.13417370803594,0.23955,208.159
2021,7,25,15,0,1.84,0.0067,-999,1.20734,-5.85044,1.26353076733414,0.191197,215.918
2021,7,25,15,30,1.84,0.0067,-999,1.44475,-1.78515,1.20512240042246,0.132256,209.918
2021,7,25,16,0,1.84,0.0067,-999,1.62439,-11.1893,1.01802750454003,0.214815,178.688
2021,7,25,16,30,1.84,0.0067,-999,1.04006,-7.3572,1.05253978547131,0.181279,211.792
2021,7,25,17,0,1.84,0.0067,-999,1.47437,-22.157,0.83529815036309,0.210981,177.269
2021,7,25,17,30,1.84,0.0067,-999,1.6599,-22.2544,0.835557897455347,0.241126,187.88
